"","PassengerId","Pclass","Sex","AgeRange","AgeRangeLabels","HasCabin","Companions","Embarked","Survived"
"2",325,"3","male","1","<16","FALSE",11,"S","0"
"4",126,"3","male","1","<16","FALSE",2,"C","1"
"5",283,"3","male","1","<16","FALSE",1,"S","0"
"6",96,"3","male","1","<16","FALSE",1,"S","0"
"7",148,"3","female","1","<16","FALSE",5,"S","0"
"8",66,"3","male","1","<16","FALSE",3,"C","1"
"9",187,"3","female","1","<16","FALSE",2,"Q","1"
"10",469,"3","male","1","<16","FALSE",1,"Q","0"
"11",446,"1","male","1","<16","TRUE",3,"S","1"
"12",120,"3","female","1","<16","FALSE",7,"S","0"
"14",369,"3","female","1","<16","FALSE",1,"Q","1"
"16",828,"2","male","1","<16","FALSE",3,"C","1"
"17",722,"3","male","1","<16","FALSE",1,"S","0"
"18",533,"3","male","1","<16","FALSE",1,"C","0"
"19",687,"3","male","1","<16","FALSE",7,"S","0"
"20",40,"3","female","1","<16","FALSE",2,"C","1"
"21",83,"3","female","1","<16","FALSE",1,"Q","1"
"23",164,"3","male","1","<16","FALSE",1,"S","0"
"24",79,"2","male","1","<16","FALSE",3,"S","1"
"25",782,"1","female","1","<16","TRUE",2,"S","1"
"26",365,"3","male","1","<16","FALSE",2,"Q","0"
"27",382,"3","female","1","<16","FALSE",3,"C","1"
"28",166,"3","male","1","<16","FALSE",3,"S","1"
"29",792,"2","male","1","<16","FALSE",2,"S","0"
"30",814,"3","female","1","<16","FALSE",7,"S","0"
"31",199,"3","female","1","<16","FALSE",1,"Q","1"
"32",375,"3","female","1","<16","FALSE",5,"S","0"
"33",619,"2","female","1","<16","TRUE",4,"S","1"
"34",645,"3","female","1","<16","FALSE",4,"C","1"
"35",390,"2","female","1","<16","FALSE",1,"C","1"
"39",60,"3","male","1","<16","FALSE",8,"S","0"
"40",234,"3","female","1","<16","FALSE",7,"S","1"
"41",262,"3","male","1","<16","FALSE",7,"S","1"
"43",25,"3","female","1","<16","FALSE",5,"S","0"
"44",185,"3","female","1","<16","FALSE",3,"S","1"
"45",267,"3","male","1","<16","FALSE",7,"S","0"
"47",160,"3","male","1","<16","FALSE",11,"S","0"
"48",847,"3","male","1","<16","FALSE",11,"S","0"
"50",447,"2","female","1","<16","FALSE",2,"S","1"
"51",490,"3","male","1","<16","FALSE",3,"S","1"
"53",854,"1","female","1","<16","TRUE",2,"S","1"
"54",46,"3","male","1","<16","FALSE",1,"S","0"
"55",279,"3","male","1","<16","FALSE",6,"Q","0"
"56",64,"3","male","1","<16","FALSE",6,"S","0"
"57",481,"3","male","1","<16","FALSE",8,"S","0"
"59",765,"3","male","1","<16","FALSE",1,"S","0"
"60",334,"3","male","1","<16","FALSE",2,"S","0"
"65",44,"2","female","1","<16","FALSE",4,"C","1"
"66",341,"2","male","1","<16","TRUE",3,"S","1"
"67",59,"2","female","1","<16","FALSE",4,"S","1"
"68",221,"3","male","1","<16","FALSE",1,"S","1"
"69",668,"3","male","1","<16","FALSE",1,"S","0"
